,0,1,2,3,4,5,6
123,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
124,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
125,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
126,2014-05-17,48,0,26.2,20,14.3,57
127,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
128,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
129,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
130,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
131,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
132,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
133,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
134,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
135,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
136,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
137,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
138,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
139,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
140,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
141,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
142,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
143,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
144,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
145,2014-05-08,83.9,4,19.5,14.5,11.5,61.45454545
146,2014-05-09,60.8,0,23.8,16.8,9.8,24.81818182
147,2014-05-10,43.4,0,28.3,20.5,12.9,33.27272727
148,2014-05-11,54.4,23,23.8,18.9,15.9,53.90909091
149,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
150,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
151,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
152,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
153,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
154,2014-05-17,48,0,26.2,20,14.3,57
155,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
156,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
157,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
158,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
159,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
160,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
161,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
162,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
163,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
164,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
165,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
166,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
167,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
168,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
169,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
170,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
171,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
172,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
173,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
174,2014-05-09,60.8,0,23.8,16.8,9.8,24.81818182
175,2014-05-10,43.4,0,28.3,20.5,12.9,33.27272727
176,2014-05-11,54.4,23,23.8,18.9,15.9,53.90909091
177,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
178,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
179,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
180,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
181,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
182,2014-05-17,48,0,26.2,20,14.3,57
183,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
184,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
185,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
186,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
187,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
188,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
189,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
190,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
191,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
192,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
193,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
194,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
195,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
196,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
197,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
198,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
199,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
200,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
201,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
202,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
203,2014-05-10,43.4,0,28.3,20.5,12.9,33.27272727
204,2014-05-11,54.4,23,23.8,18.9,15.9,53.90909091
205,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
206,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
207,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
208,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
209,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
210,2014-05-17,48,0,26.2,20,14.3,57
211,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
212,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
213,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
214,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
215,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
216,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
217,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
218,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
219,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
220,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
221,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
222,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
223,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
224,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
225,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
226,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
227,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
228,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
229,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
230,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
231,2014-06-07,65.1,0,27.1,23.5,19.7,406.8181818
232,2014-05-11,54.4,23,23.8,18.9,15.9,53.90909091
233,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
234,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
235,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
236,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
237,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
238,2014-05-17,48,0,26.2,20,14.3,57
239,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
240,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
241,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
242,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
243,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
244,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
245,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
246,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
247,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
248,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
249,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
250,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
251,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
252,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
253,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
254,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
255,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
256,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
257,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
258,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
259,2014-06-07,65.1,0,27.1,23.5,19.7,406.8181818
260,2014-06-08,75.3,0,24.5,21.4,19.2,100.4545455
261,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
262,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
263,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
264,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
265,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
266,2014-05-17,48,0,26.2,20,14.3,57
267,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
268,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
269,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
270,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
271,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
272,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
273,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
274,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
275,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
276,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
277,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
278,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
279,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
280,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
281,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
282,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
283,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
284,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
285,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
286,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
287,2014-06-07,65.1,0,27.1,23.5,19.7,406.8181818
288,2014-06-08,75.3,0,24.5,21.4,19.2,100.4545455
